,cif
0,"# generated using pymatgen
data_Ti2MnNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.23054440
_cell_length_b   4.23054432
_cell_length_c   4.23054425
_cell_angle_alpha   59.89365159
_cell_angle_beta   59.89365169
_cell_angle_gamma   59.89364903
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2MnNi
_chemical_formula_sum   'Ti2 Mn1 Ni1'
_cell_volume   53.41025033
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.41003390  0.75003390  0.50003391  1
  Ti  Ti1  1  0.90996609  0.24996609  -0.00003390  1
  Mn  Mn2  1  0.66000000  0.00000000  0.74999999  1
  Ni  Ni3  1  0.16000000  0.50000000  0.25000000  1
"
1,"# generated using pymatgen
data_Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.52767040
_cell_length_b   7.12356450
_cell_length_c   3.19640354
_cell_angle_alpha   77.04229258
_cell_angle_beta   73.21404033
_cell_angle_gamma   49.77424275
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg
_chemical_formula_sum   Mg4
_cell_volume   91.88048325
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.59096039  0.13984484  0.39649486  1
  Mg  Mg1  1  0.84134011  0.38927482  0.67244787  1
  Mg  Mg2  1  0.08865989  0.64072519  0.87755212  1
  Mg  Mg3  1  0.33903962  0.89015515  0.15350516  1
"
2,"# generated using pymatgen
data_MgPb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.69077003
_cell_length_b   10.88792395
_cell_length_c   7.45257942
_cell_angle_alpha   50.53994204
_cell_angle_beta   66.01610181
_cell_angle_gamma   74.53655177
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgPb
_chemical_formula_sum   'Mg6 Pb6'
_cell_volume   382.94617886
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.42453857  0.99166443  0.22902767  1
  Mg  Mg1  1  0.24494907  0.61077285  0.83153609  1
  Mg  Mg2  1  0.84826761  0.36050636  0.63088915  1
  Mg  Mg3  1  0.95208877  0.87951982  0.10981396  1
  Mg  Mg4  1  0.41175305  0.43748802  0.36433199  1
  Mg  Mg5  1  0.68090204  0.07770440  0.65351127  1
  Pb  Pb6  1  0.36273820  0.89509951  0.72520508  1
  Pb  Pb7  1  0.87068266  0.38619285  0.21422966  1
  Pb  Pb8  1  0.60057716  0.65153253  0.38425823  1
  Pb  Pb9  1  0.20289067  0.15760926  0.84199004  1
  Pb  Pb10  1  0.50402058  0.32255641  0.06190455  1
  Pb  Pb11  1  0.97659162  0.86935355  0.51330229  1
"
3,"# generated using pymatgen
data_TiCo
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.95654698
_cell_length_b   5.95654700
_cell_length_c   5.95654721
_cell_angle_alpha   90.00000011
_cell_angle_beta   90.00000018
_cell_angle_gamma   90.00000125
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiCo
_chemical_formula_sum   'Ti8 Co8'
_cell_volume   211.34098749
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.77000000  0.49000000  0.15000000  1
  Ti  Ti1  1  0.27000000  0.99000000  0.65000000  1
  Ti  Ti2  1  0.77000000  0.99000000  0.15000000  1
  Ti  Ti3  1  0.27000000  0.49000000  0.65000000  1
  Ti  Ti4  1  0.77000000  0.49000000  0.65000000  1
  Ti  Ti5  1  0.27000000  0.99000000  0.15000000  1
  Ti  Ti6  1  0.27000000  0.49000000  0.15000000  1
  Ti  Ti7  1  0.77000000  0.99000000  0.65000000  1
  Co  Co8  1  0.02000000  0.24000000  0.40000000  1
  Co  Co9  1  0.02000000  0.74000000  0.90000000  1
  Co  Co10  1  0.52000000  0.24000000  0.90000000  1
  Co  Co11  1  0.52000000  0.74000000  0.40000000  1
  Co  Co12  1  0.52000000  0.74000000  0.90000000  1
  Co  Co13  1  0.52000000  0.24000000  0.40000000  1
  Co  Co14  1  0.02000000  0.24000000  0.90000000  1
  Co  Co15  1  0.02000000  0.74000000  0.40000000  1
"
4,"# generated using pymatgen
data_Hf
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.62045360
_cell_length_b   5.62956021
_cell_length_c   6.06220567
_cell_angle_alpha   62.78349207
_cell_angle_beta   103.81225989
_cell_angle_gamma   66.24390686
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf
_chemical_formula_sum   Hf8
_cell_volume   180.84954019
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.48765160  0.75830266  0.89817733  1
  Hf  Hf1  1  0.74457608  0.02409421  0.16861438  1
  Hf  Hf2  1  0.99085910  0.27484639  0.42713856  1
  Hf  Hf3  1  0.22933794  0.51681144  0.61630029  1
  Hf  Hf4  1  0.09491458  0.10800350  0.01758801  1
  Hf  Hf5  1  0.59250697  0.60408427  0.50432243  1
  Hf  Hf6  1  0.84128528  0.85341981  0.76201519  1
  Hf  Hf7  1  0.34886845  0.35043772  0.24584381  1
"
5,"# generated using pymatgen
data_Mg2Pd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.36386601
_cell_length_b   4.76277699
_cell_length_c   5.06177391
_cell_angle_alpha   82.78054049
_cell_angle_beta   70.33565888
_cell_angle_gamma   74.07875561
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg2Pd3
_chemical_formula_sum   'Mg4 Pd6'
_cell_volume   160.65333739
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.61782975  0.38499427  0.77894605  1
  Mg  Mg1  1  0.82831878  0.43551935  0.15775138  1
  Mg  Mg2  1  0.32877550  0.93398396  0.65648859  1
  Mg  Mg3  1  0.11790578  0.88551904  0.27782399  1
  Pd  Pd4  1  0.72350343  -0.08379188  0.46160655  1
  Pd  Pd5  1  0.22337225  0.41464953  0.96184122  1
  Pd  Pd6  1  0.92794098  0.91141590  0.86323120  1
  Pd  Pd7  1  0.42750529  0.41109156  0.36356932  1
  Pd  Pd8  1  0.51755113  0.89788077  0.05907264  1
  Pd  Pd9  1  0.01729712  0.39873749  0.55966905  1
"
6,"# generated using pymatgen
data_LiSbPt2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.55980233
_cell_length_b   4.55980230
_cell_length_c   4.57146989
_cell_angle_alpha   59.01976285
_cell_angle_beta   59.01976238
_cell_angle_gamma   60.08120080
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiSbPt2
_chemical_formula_sum   'Li1 Sb1 Pt2'
_cell_volume   66.23604112
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.12000000  0.76000000  0.39000000  1
  Sb  Sb1  1  0.62000000  0.26000000  0.89000000  1
  Pt  Pt2  1  0.36998791  0.00998791  0.63986725  1
  Pt  Pt3  1  0.87001209  0.51001209  0.14013275  1
"
7,"# generated using pymatgen
data_Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.03588570
_cell_length_b   8.86579946
_cell_length_c   7.64944959
_cell_angle_alpha   78.47906106
_cell_angle_beta   31.33186042
_cell_angle_gamma   63.02858269
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg
_chemical_formula_sum   Mg10
_cell_volume   259.66339905
_cell_formula_units_Z   10
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.88522249  0.71452355  0.34622224  1
  Mg  Mg1  1  1.01904817  0.05366755  0.66678556  1
  Mg  Mg2  1  0.40025795  0.69867559  0.59462699  1
  Mg  Mg3  1  0.50231732  0.08633110  -0.11151716  1
  Mg  Mg4  1  0.23152257  0.38278080  0.80039898  1
  Mg  Mg5  1  0.84053187  0.74978833  -0.11686205  1
  Mg  Mg6  1  0.67425547  0.43832400  0.07223804  1
  Mg  Mg7  1  0.70789809  0.38713964  0.62802205  1
  Mg  Mg8  1  0.30794522  0.78485117  0.13626743  1
  Mg  Mg9  1  1.03100085  0.08391827  0.06381791  1
"
8,"# generated using pymatgen
data_LiPd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.37711213
_cell_length_b   4.37711214
_cell_length_c   4.40522521
_cell_angle_alpha   59.69437765
_cell_angle_beta   59.69437810
_cell_angle_gamma   60.41715529
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiPd3
_chemical_formula_sum   'Li1 Pd3'
_cell_volume   59.58601050
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.57000000  0.40000000  0.18000000  1
  Pd  Pd1  1  0.07000000  0.90000000  0.68000000  1
  Pd  Pd2  1  0.81999338  0.64999338  0.43031096  1
  Pd  Pd3  1  0.32000662  0.15000662  0.92968904  1
"
9,"# generated using pymatgen
data_LiFe3O4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.30378835
_cell_length_b   5.30378804
_cell_length_c   4.27092670
_cell_angle_alpha   66.25620048
_cell_angle_beta   66.25619978
_cell_angle_gamma   47.31497191
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiFe3O4
_chemical_formula_sum   'Li1 Fe3 O4'
_cell_volume   79.32466406
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.38886358  0.55113643  0.25999999  1
  Fe  Fe1  1  0.89218054  0.04781950  0.75999999  1
  Fe  Fe2  1  0.14338290  0.29556721  0.01053652  1
  Fe  Fe3  1  0.64443279  0.79661708  0.50946348  1
  O  O4  1  0.66424152  0.81271017  -0.00848295  1
  O  O5  1  0.12728983  0.27575844  0.52848297  1
  O  O6  1  0.40074021  0.53925979  0.75999999  1
  O  O7  1  -0.10113137  1.04113139  0.25999999  1
"
