,cif
0,"# generated using pymatgen
data_NdErLu3MgSi2(IrC)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.79821018
_cell_length_b   6.49534751
_cell_length_c   9.39566126
_cell_angle_alpha   87.81358044
_cell_angle_beta   89.98709894
_cell_angle_gamma   89.99438565
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdErLu3MgSi2(IrC)2
_chemical_formula_sum   'Nd1 Er1 Lu3 Mg1 Si2 Ir2 C2'
_cell_volume   231.62873511
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.62688305  0.48986484  0.81169700  1
  Er  Er1  1  0.12710718  0.96192581  0.82965683  1
  Lu  Lu2  1  0.12739373  0.23215466  0.53658820  1
  Lu  Lu3  1  0.62596430  0.78790919  0.10286936  1
  Lu  Lu4  1  0.12667222  0.33012988  0.13010553  1
  Mg  Mg5  1  0.62779404  0.55747446  0.38438481  1
  Si  Si6  1  0.12763317  0.67543549  0.56805496  1
  Si  Si7  1  0.62676924  0.11427687  0.31204289  1
  Ir  Ir8  1  0.62749089  0.91373444  0.56240724  1
  Ir  Ir9  1  0.12683800  0.88223877  0.33364770  1
  C  C10  1  0.12623319  0.63569280  0.97954003  1
  C  C11  1  0.62742177  0.13747498  0.70096183  1
"
1,"# generated using pymatgen
data_CaGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.68945836
_cell_length_b   3.69242808
_cell_length_c   3.69646445
_cell_angle_alpha   90.52185488
_cell_angle_beta   90.47523093
_cell_angle_gamma   89.29468531
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaGa
_chemical_formula_sum   'Ca1 Ga1'
_cell_volume   50.34956574
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.45892710  0.86299053  0.21685256  1
  Ga  Ga1  1  0.95814862  0.36217439  0.71801867  1
"
2,"# generated using pymatgen
data_Zn2Au3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.02579715
_cell_length_b   4.54507009
_cell_length_c   7.80031833
_cell_angle_alpha   89.78867405
_cell_angle_beta   83.91084885
_cell_angle_gamma   103.74398357
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn2Au3
_chemical_formula_sum   'Zn4 Au6'
_cell_volume   172.02424460
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.66399428  0.35576248  0.22175534  1
  Zn  Zn1  1  0.88278043  0.92297565  0.70282231  1
  Zn  Zn2  1  0.41758166  0.29160985  0.60108772  1
  Zn  Zn3  1  0.13654312  0.99150701  0.32208955  1
  Au  Au4  1  0.21485170  0.51347060  0.12954495  1
  Au  Au5  1  0.58177311  0.83104967  0.41925102  1
  Au  Au6  1  0.97096608  0.45002861  0.50201612  1
  Au  Au7  1  0.84244809  0.90860661  0.05511373  1
  Au  Au8  1  0.70739256  0.37268343  0.86960784  1
  Au  Au9  1  0.33393627  0.76979602  0.79387791  1
"
3,"# generated using pymatgen
data_Rb2PrMnSeF6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.89539858
_cell_length_b   6.62834669
_cell_length_c   7.14096282
_cell_angle_alpha   111.20347721
_cell_angle_beta   99.14095773
_cell_angle_gamma   92.67322717
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2PrMnSeF6
_chemical_formula_sum   'Rb2 Pr1 Mn1 Se1 F6'
_cell_volume   211.91452166
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.65116793  0.73465742  0.91890174  1
  Rb  Rb1  1  0.40938161  0.03497865  0.44772567  1
  Pr  Pr2  1  0.97811234  0.52469285  0.40111036  1
  Mn  Mn3  1  0.10698342  0.23778385  0.90408390  1
  Se  Se4  1  0.60261182  0.25026424  0.97492953  1
  F  F5  1  0.09439108  0.17437740  0.17949181  1
  F  F6  1  0.15616094  0.55764820  0.10346334  1
  F  F7  1  0.09009017  0.84174289  0.71092454  1
  F  F8  1  0.82028164  0.80571820  0.32207677  1
  F  F9  1  0.99710884  0.32799575  0.63032711  1
  F  F10  1  0.48963201  0.53454566  0.48599583  1
"
4,"# generated using pymatgen
data_FeBiO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.75872552
_cell_length_b   3.75887857
_cell_length_c   4.89012211
_cell_angle_alpha   89.86388413
_cell_angle_beta   89.62091234
_cell_angle_gamma   89.97978340
_symmetry_Int_Tables_number   1
_chemical_formula_structural   FeBiO3
_chemical_formula_sum   'Fe1 Bi1 O3'
_cell_volume   69.08883293
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.83297105  0.45849355  0.73219843  1
  Bi  Bi1  1  0.32770457  0.95642632  0.15984346  1
  O  O2  1  0.83216835  0.95832223  0.87933829  1
  O  O3  1  0.32952124  0.45858425  0.87972007  1
  O  O4  1  0.83191539  0.45945358  0.35761147  1
"
5,"# generated using pymatgen
data_NdMgSn2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.37093281
_cell_length_b   5.66794785
_cell_length_c   6.76434438
_cell_angle_alpha   90.70614345
_cell_angle_beta   90.03607365
_cell_angle_gamma   90.01759108
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdMgSn2
_chemical_formula_sum   'Nd2 Mg2 Sn4'
_cell_volume   205.90561159
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.56007448  0.15107383  0.04034803  1
  Nd  Nd1  1  0.06164116  0.48951438  0.53210746  1
  Mg  Mg2  1  0.56142650  0.12846423  0.53962326  1
  Mg  Mg3  1  0.06205412  0.51720099  0.03354518  1
  Sn  Sn4  1  0.05986315  0.99227996  0.28588798  1
  Sn  Sn5  1  0.56164191  0.64490084  0.78714766  1
  Sn  Sn6  1  0.05945155  -0.00022031  0.78637873  1
  Sn  Sn7  1  0.55806178  0.65113432  0.28681730  1
"
6,"# generated using pymatgen
data_LaEr3As4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.91317901
_cell_length_b   8.35042020
_cell_length_c   8.27451980
_cell_angle_alpha   90.00386298
_cell_angle_beta   89.96557139
_cell_angle_gamma   89.95793685
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaEr3As4
_chemical_formula_sum   'La2 Er6 As8'
_cell_volume   408.57516028
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  -0.00038044  0.85370955  0.10332731  1
  La  La1  1  0.00188898  0.85380552  0.60379956  1
  Er  Er2  1  0.50006485  0.11277018  0.85351804  1
  Er  Er3  1  0.50423148  0.59757761  0.85420676  1
  Er  Er4  1  0.50273386  0.11162955  0.35364107  1
  Er  Er5  1  0.00597756  0.35540187  0.60335416  1
  Er  Er6  1  0.50297824  0.59454912  0.35353254  1
  Er  Er7  1  0.00454490  0.35337042  0.10156429  1
  As  As8  1  0.50144535  0.35283221  0.10247604  1
  As  As9  1  0.00104885  0.58368011  0.35261982  1
  As  As10  1  0.99814514  0.58417862  0.85334198  1
  As  As11  1  0.50203290  0.85402415  0.60298684  1
  As  As12  1  0.00344250  0.12395765  0.35116120  1
  As  As13  1  0.50427947  0.35499715  0.60335008  1
  As  As14  1  1.00027458  0.12414183  0.85110153  1
  As  As15  1  0.50024938  0.85288626  0.10288690  1
"
7,"# generated using pymatgen
data_MgFeGe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.80600529
_cell_length_b   3.84561299
_cell_length_c   6.45976074
_cell_angle_alpha   59.11214821
_cell_angle_beta   59.31620771
_cell_angle_gamma   70.80949492
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgFeGe2
_chemical_formula_sum   'Mg1 Fe1 Ge2'
_cell_volume   69.49285881
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.91206466  0.99743636  0.93111583  1
  Fe  Fe1  1  0.41015411  0.49614167  0.42945839  1
  Ge  Ge2  1  0.16767943  0.25296326  0.25687273  1
  Ge  Ge3  1  0.65204699  0.73836459  0.60269179  1
"
8,"# generated using pymatgen
data_Ba5AlInGa9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.57344512
_cell_length_b   9.18979781
_cell_length_c   8.38973178
_cell_angle_alpha   100.57855095
_cell_angle_beta   75.21471227
_cell_angle_gamma   78.80943312
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba5AlInGa9
_chemical_formula_sum   'Ba5 Al1 In1 Ga9'
_cell_volume   465.97035284
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.30274711  0.03816677  0.15648268  1
  Ba  Ba1  1  0.35317392  0.44703682  0.47723777  1
  Ba  Ba2  1  0.91589710  0.74767976  0.93318394  1
  Ba  Ba3  1  0.65638793  0.02082518  0.52364992  1
  Ba  Ba4  1  0.61203390  0.41760631  0.90159759  1
  Al  Al5  1  0.93126447  0.46065796  0.18866270  1
  In  In6  1  0.43972086  0.77535461  0.76452713  1
  Ga  Ga7  1  0.83534738  0.62955052  0.50406478  1
  Ga  Ga8  1  0.10714721  0.16440405  0.57855928  1
  Ga  Ga9  1  0.87517939  0.32935137  0.43619980  1
  Ga  Ga10  1  0.06243881  0.05579473  0.83939246  1
  Ga  Ga11  1  0.79466192  0.19205216  0.14794315  1
  Ga  Ga12  1  0.56150286  0.69644179  0.28335085  1
  Ga  Ga13  1  0.15392138  0.32102118  0.87852043  1
  Ga  Ga14  1  0.14269755  0.68435141  0.24796963  1
  Ga  Ga15  1  0.17681869  0.84501599  0.52472973  1
"
9,"# generated using pymatgen
data_BaNaThMnS3F2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.14888189
_cell_length_b   6.83421371
_cell_length_c   7.71829816
_cell_angle_alpha   106.72629057
_cell_angle_beta   105.68602003
_cell_angle_gamma   89.90414065
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaNaThMnS3F2
_chemical_formula_sum   'Ba1 Na1 Th1 Mn1 S3 F2'
_cell_volume   201.09329854
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.94387847  0.46063597  0.08013850  1
  Na  Na1  1  0.19788205  0.50090605  0.58696988  1
  Th  Th2  1  0.66404819  0.95590211  0.51961828  1
  Mn  Mn3  1  0.39933976  0.99367528  0.98257571  1
  S  S4  1  0.28645507  0.20232775  0.76029486  1
  S  S5  1  0.81593495  0.78310248  0.82160071  1
  S  S6  1  0.56969809  0.23105366  0.31557378  1
  F  F7  1  0.51311328  0.70625820  0.22746040  1
  F  F8  1  0.12190649  0.76773521  0.43850295  1
"
