,cif
0,"# generated using pymatgen
data_MnVO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.85963312
_cell_length_b   5.37667619
_cell_length_c   6.01325731
_cell_angle_alpha   89.35323854
_cell_angle_beta   53.75687227
_cell_angle_gamma   88.56008695
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MnVO3
_chemical_formula_sum   'Mn2 V2 O6'
_cell_volume   152.74444030
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.65069634  0.92231706  0.46139520  1
  Mn  Mn1  1  0.16409837  0.42085877  0.94751943  1
  V  V2  1  0.50409323  0.42671722  0.30765133  1
  V  V3  1  -0.00753417  0.92589798  0.81825311  1
  O  O4  1  0.80172833  0.93114957  0.69227654  1
  O  O5  1  0.35808522  0.43572016  0.13722889  1
  O  O6  1  -0.17572977  0.17157307  0.12463861  1
  O  O7  1  0.30264463  0.17677981  0.60974993  1
  O  O8  1  0.30984891  0.67407330  0.61792021  1
  O  O9  1  0.81206887  0.67491304  0.12336675  1
"
1,"# generated using pymatgen
data_Nd2MgCd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.47579643
_cell_length_b   5.47579631
_cell_length_c   5.47579636
_cell_angle_alpha   60.14500708
_cell_angle_beta   60.14500805
_cell_angle_gamma   60.14500809
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd2MgCd
_chemical_formula_sum   'Nd2 Mg1 Cd1'
_cell_volume   116.47991532
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.17995010  0.70995010  0.31995010  1
  Nd  Nd1  1  0.68004990  0.21004990  0.82004990  1
  Mg  Mg2  1  0.43000000  0.96000000  0.57000000  1
  Cd  Cd3  1  0.93000000  0.46000000  0.07000000  1
"
2,"# generated using pymatgen
data_LuAs
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.98626928
_cell_length_b   10.67365752
_cell_length_c   6.98644506
_cell_angle_alpha   102.59121373
_cell_angle_beta   109.44854077
_cell_angle_gamma   49.11677061
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LuAs
_chemical_formula_sum   'Lu8 As8'
_cell_volume   371.40436459
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Lu  Lu0  1  0.04672049  0.26182130  0.22935162  1
  Lu  Lu1  1  0.54452656  0.26327497  0.72835770  1
  Lu  Lu2  1  0.04163308  0.76402302  0.72481277  1
  Lu  Lu3  1  0.54331946  0.76282922  0.22545725  1
  Lu  Lu4  1  0.26482563  0.52759061  0.21115570  1
  Lu  Lu5  1  0.76525830  0.52704224  0.71186974  1
  Lu  Lu6  1  0.26673358  0.02661361  0.71462526  1
  Lu  Lu7  1  0.76620495  0.02719134  0.21402065  1
  As  As8  1  0.54966396  0.51075976  -0.02113720  1
  As  As9  1  0.26616727  0.77725180  0.46320226  1
  As  As10  1  0.76212236  0.27844244  0.46199868  1
  As  As11  1  0.04322982  0.01282627  -0.02352020  1
  As  As12  1  0.76694203  0.77685802  0.96321011  1
  As  As13  1  0.04617485  0.51260029  0.47774482  1
  As  As14  1  0.54244791  0.01335055  0.47651761  1
  As  As15  1  0.26402975  0.27752457  0.96233323  1
"
3,"# generated using pymatgen
data_Ho4Zn3Ni
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.95834185
_cell_length_b   6.22968946
_cell_length_c   5.89808370
_cell_angle_alpha   73.69490176
_cell_angle_beta   120.41283194
_cell_angle_gamma   104.85887836
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ho4Zn3Ni
_chemical_formula_sum   'Ho4 Zn3 Ni1'
_cell_volume   179.47402094
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.90201152  0.30134187  0.19719280  1
  Ho  Ho1  1  0.21957737  0.23581289  0.89446615  1
  Ho  Ho2  1  0.64991703  0.81331576  -0.04414130  1
  Ho  Ho3  1  0.60526321  0.46120029  0.50916500  1
  Zn  Zn4  1  0.14488166  0.70216194  0.44302248  1
  Zn  Zn5  1  0.10038569  0.72772055  0.88388970  1
  Zn  Zn6  1  0.57711411  0.95778992  0.40089004  1
  Ni  Ni7  1  0.30084940  0.08065677  0.56551515  1
"
4,"# generated using pymatgen
data_CaZn2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.01839349
_cell_length_b   7.21581346
_cell_length_c   7.09086360
_cell_angle_alpha   73.23424969
_cell_angle_beta   65.88412031
_cell_angle_gamma   90.82539939
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaZn2
_chemical_formula_sum   'Ca4 Zn8'
_cell_volume   266.01520651
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.34333771  0.43192938  0.90805519  1
  Ca  Ca1  1  0.32802729  0.92261150  0.45309209  1
  Ca  Ca2  1  0.78276339  0.72834331  0.04627215  1
  Ca  Ca3  1  0.80635986  0.26806038  0.48664203  1
  Zn  Zn4  1  0.17831073  0.66893096  0.23351288  1
  Zn  Zn5  1  0.73402453  0.80015040  0.60535962  1
  Zn  Zn6  1  -0.00501256  0.00991478  0.20145915  1
  Zn  Zn7  1  -0.01775461  0.52311347  0.68368819  1
  Zn  Zn8  1  0.72999488  0.24895454  0.05787516  1
  Zn  Zn9  1  0.37093457  0.38125209  0.37587550  1
  Zn  Zn10  1  0.41631634  -0.03309160  0.89800027  1
  Zn  Zn11  1  0.10269787  0.14983078  0.77016775  1
"
5,"# generated using pymatgen
data_Gd2PdAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09577761
_cell_length_b   5.09577768
_cell_length_c   5.09577770
_cell_angle_alpha   59.55787853
_cell_angle_beta   59.55787807
_cell_angle_gamma   59.55787765
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Gd2PdAu
_chemical_formula_sum   'Gd2 Pd1 Au1'
_cell_volume   92.62516945
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.51992490  0.15992490  0.82992490  1
  Gd  Gd1  1  0.02007510  0.66007510  0.33007510  1
  Pd  Pd2  1  0.77000000  0.41000000  0.08000000  1
  Au  Au3  1  0.27000000  0.91000000  0.58000000  1
"
6,"# generated using pymatgen
data_Tm2InGa
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.17438156
_cell_length_b   5.17438152
_cell_length_c   5.17438158
_cell_angle_alpha   59.73829780
_cell_angle_beta   59.73829816
_cell_angle_gamma   59.73829888
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tm2InGa
_chemical_formula_sum   'Tm2 In1 Ga1'
_cell_volume   97.38040708
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.66006185  0.94006185  0.50006185  1
  Tm  Tm1  1  0.15993815  0.43993815  -0.00006185  1
  In  In2  1  0.91000000  0.19000000  0.75000000  1
  Ga  Ga3  1  0.41000000  0.69000000  0.25000000  1
"
7,"# generated using pymatgen
data_TbScPd2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.32351990
_cell_length_b   8.32352017
_cell_length_c   4.84581549
_cell_angle_alpha   30.41226953
_cell_angle_beta   30.41227009
_cell_angle_gamma   33.80196194
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TbScPd2
_chemical_formula_sum   'Tb1 Sc1 Pd2'
_cell_volume   80.89454451
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tb  Tb0  1  0.50000000  0.31000000  0.02999999  1
  Sc  Sc1  1  -0.00000000  0.81000000  0.53000001  1
  Pd  Pd2  1  0.24446540  0.05446536  0.27785657  1
  Pd  Pd3  1  0.75553460  0.56553464  0.78214343  1
"
8,"# generated using pymatgen
data_Y2IrRu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.84518669
_cell_length_b   4.84518664
_cell_length_c   4.84518678
_cell_angle_alpha   59.94092262
_cell_angle_beta   59.94092220
_cell_angle_gamma   59.94092350
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y2IrRu
_chemical_formula_sum   'Y2 Ir1 Ru1'
_cell_volume   80.32194929
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.19996844  -0.00003156  0.13996844  1
  Y  Y1  1  0.70003156  0.50003156  0.64003156  1
  Ir  Ir2  1  0.95000000  0.75000000  0.89000000  1
  Ru  Ru3  1  0.45000000  0.25000000  0.39000000  1
"
9,"# generated using pymatgen
data_Sm2TlCd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.44194637
_cell_length_b   5.44194635
_cell_length_c   5.44243210
_cell_angle_alpha   59.93624896
_cell_angle_beta   59.93624883
_cell_angle_gamma   59.89652653
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm2TlCd
_chemical_formula_sum   'Sm2 Tl1 Cd1'
_cell_volume   113.76987015
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.17003387  0.97003387  0.40917577  1
  Sm  Sm1  1  0.67000723  0.47000723  0.90915599  1
  Tl  Tl2  1  0.41998138  0.21998138  0.65090326  1
  Cd  Cd3  1  0.91997752  0.71997752  0.15076497  1
"
