,cif
0,"# generated using pymatgen
data_Al3Ni
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.17710018
_cell_length_b   4.17710030
_cell_length_c   4.57340169
_cell_angle_alpha   56.78659226
_cell_angle_beta   56.78659630
_cell_angle_gamma   66.34607511
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al3Ni
_chemical_formula_sum   'Al3 Ni1'
_cell_volume   55.26852041
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.55009733  0.40009734  0.04240073  1
  Al  Al1  1  0.79997179  0.64997180  0.28927137  1
  Al  Al2  1  0.04985817  0.89985816  0.54254923  1
  Ni  Ni3  1  0.30007270  0.15007270  0.79577867  1
"
1,"# generated using pymatgen
data_Rb3Sb2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.25325969
_cell_length_b   13.07880766
_cell_length_c   7.37194396
_cell_angle_alpha   91.96954616
_cell_angle_beta   44.74225170
_cell_angle_gamma   91.88672260
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb3Sb2
_chemical_formula_sum   'Rb6 Sb4'
_cell_volume   559.77015617
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.18830816  0.22101421  0.24076621  1
  Rb  Rb1  1  0.88016392  0.73341811  0.97455860  1
  Rb  Rb2  1  0.71099239  0.47272808  0.45889860  1
  Rb  Rb3  1  0.46651405  0.97633385  0.70087659  1
  Rb  Rb4  1  0.21960578  0.71242259  0.24937791  1
  Rb  Rb5  1  0.78314403  0.21821845  1.01132066  1
  Sb  Sb6  1  0.98946649  0.47091593  0.70810508  1
  Sb  Sb7  1  0.45507047  0.96594319  0.21637771  1
  Sb  Sb8  1  0.48553018  0.47584440  0.16380432  1
  Sb  Sb9  1  0.99120452  0.97316118  0.65591433  1
"
2,"# generated using pymatgen
data_MgGa3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.44040261
_cell_length_b   5.44040266
_cell_length_c   5.44040266
_cell_angle_alpha   90.00000059
_cell_angle_beta   90.00000082
_cell_angle_gamma   90.00000020
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgGa3
_chemical_formula_sum   'Mg2 Ga6'
_cell_volume   161.02493371
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.49000000  0.04000000  0.75000000  1
  Mg  Mg1  1  0.99000000  0.54000000  0.25000000  1
  Ga  Ga2  1  0.49000000  0.54000000  0.25000000  1
  Ga  Ga3  1  0.99000000  0.04000000  0.75000000  1
  Ga  Ga4  1  0.49000000  0.04000000  0.25000000  1
  Ga  Ga5  1  0.99000000  0.54000000  0.75000000  1
  Ga  Ga6  1  0.49000000  0.54000000  0.75000000  1
  Ga  Ga7  1  0.99000000  0.04000000  0.25000000  1
"
3,"# generated using pymatgen
data_Cd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.08753884
_cell_length_b   5.08753886
_cell_length_c   5.08753886
_cell_angle_alpha   59.06740936
_cell_angle_beta   59.06740924
_cell_angle_gamma   59.06740943
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cd
_chemical_formula_sum   Cd4
_cell_volume   91.13256339
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.58000000  0.26000000  0.09000000  1
  Cd  Cd1  1  0.83000000  0.51000000  0.34000000  1
  Cd  Cd2  1  0.08000000  0.76000000  0.59000000  1
  Cd  Cd3  1  0.33000000  0.01000000  0.84000000  1
"
4,"# generated using pymatgen
data_YbIr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.74937623
_cell_length_b   7.74937601
_cell_length_c   4.04330157
_cell_angle_alpha   38.50516440
_cell_angle_beta   38.50516484
_cell_angle_gamma   30.36917564
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbIr
_chemical_formula_sum   'Yb2 Ir2'
_cell_volume   71.84276613
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  0.57000000  0.87000000  0.71000001  1
  Yb  Yb1  1  0.07000000  0.37000000  0.21000000  1
  Ir  Ir2  1  0.82000000  0.12000001  0.45999999  1
  Ir  Ir3  1  0.32000000  0.62000000  0.96000000  1
"
5,"# generated using pymatgen
data_ZnRh
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.27840575
_cell_length_b   4.27840566
_cell_length_c   4.29273175
_cell_angle_alpha   59.89399933
_cell_angle_beta   59.89399941
_cell_angle_gamma   60.22068090
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnRh
_chemical_formula_sum   'Zn2 Rh2'
_cell_volume   55.56505336
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.42000000  0.15000000  0.97000000  1
  Zn  Zn1  1  0.92000000  0.65000000  0.47000000  1
  Rh  Rh2  1  0.67000000  0.40000000  0.22000000  1
  Rh  Rh3  1  0.17000000  0.90000000  0.71999999  1
"
6,"# generated using pymatgen
data_Hf
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.37185478
_cell_length_b   6.37185443
_cell_length_c   6.37185494
_cell_angle_alpha   59.28279681
_cell_angle_beta   59.28279574
_cell_angle_gamma   59.28280058
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf
_chemical_formula_sum   Hf8
_cell_volume   179.94133942
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.79000000  0.79000000  0.04000000  1
  Hf  Hf1  1  0.79000000  0.29000000  0.04000000  1
  Hf  Hf2  1  0.29000000  0.29000000  0.54000000  1
  Hf  Hf3  1  0.29000000  0.79000000  0.54000000  1
  Hf  Hf4  1  0.29000000  0.29000000  0.04000000  1
  Hf  Hf5  1  0.79000000  0.79000000  0.54000000  1
  Hf  Hf6  1  0.79000000  0.29000000  0.54000000  1
  Hf  Hf7  1  0.29000000  0.79000000  0.04000000  1
"
7,"# generated using pymatgen
data_HfFe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.44777043
_cell_length_b   4.44777041
_cell_length_c   4.43079225
_cell_angle_alpha   59.58307300
_cell_angle_beta   59.58307329
_cell_angle_gamma   59.73974847
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfFe
_chemical_formula_sum   'Hf2 Fe2'
_cell_volume   61.46596860
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.28000000  0.48000000  0.87000000  1
  Hf  Hf1  1  0.78000000  0.98000000  0.37000000  1
  Fe  Fe2  1  0.03000000  0.23000000  0.62000000  1
  Fe  Fe3  1  0.53000000  0.73000000  0.12000000  1
"
8,"# generated using pymatgen
data_Hf
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.04776836
_cell_length_b   5.86816497
_cell_length_c   10.72561616
_cell_angle_alpha   97.53385499
_cell_angle_beta   72.53549883
_cell_angle_gamma   118.93256112
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf
_chemical_formula_sum   Hf14
_cell_volume   317.73453885
_cell_formula_units_Z   14
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.56033925  0.15797648  0.73500296  1
  Hf  Hf1  1  0.56162735  0.99346821  0.45500235  1
  Hf  Hf2  1  0.36036633  0.54674440  0.88373462  1
  Hf  Hf3  1  0.89243277  0.76318734  0.29084841  1
  Hf  Hf4  1  0.86579666  0.02737231  0.87611792  1
  Hf  Hf5  1  0.37715245  0.24400436  0.30065414  1
  Hf  Hf6  1  0.24694690  0.00742879  1.01225468  1
  Hf  Hf7  1  0.94137568  0.27887748  0.17271281  1
  Hf  Hf8  1  0.06761945  0.50145728  0.44700553  1
  Hf  Hf9  1  0.07977786  0.62639684  0.72614450  1
  Hf  Hf10  1  0.00904725  1.00919591  0.58943025  1
  Hf  Hf11  1  0.53329218  0.51338367  0.57274371  1
  Hf  Hf12  1  0.46640786  0.78049289  0.16030183  1
  Hf  Hf13  1  0.74781800  0.49001405  1.00804628  1
"
9,"# generated using pymatgen
data_Sn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.26742416
_cell_length_b   17.12429045
_cell_length_c   8.62922746
_cell_angle_alpha   128.03568376
_cell_angle_beta   89.71215969
_cell_angle_gamma   117.53208812
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sn
_chemical_formula_sum   Sn23
_cell_volume   970.92293000
_cell_formula_units_Z   23
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sn  Sn0  1  0.28633246  0.85257731  0.91566997  1
  Sn  Sn1  1  0.99284869  0.83335419  0.55059248  1
  Sn  Sn2  1  0.48430251  0.43106432  0.12784226  1
  Sn  Sn3  1  0.21485594  0.76264327  0.12336980  1
  Sn  Sn4  1  0.98107789  0.41452030  0.94203791  1
  Sn  Sn5  1  0.75644835  0.27653841  0.32314079  1
  Sn  Sn6  1  0.50921213  0.01015559  0.54243153  1
  Sn  Sn7  1  0.48952719  0.78043274  0.95858686  1
  Sn  Sn8  1  0.23888819  0.45657846  0.52297343  1
  Sn  Sn9  1  0.74724526  0.79721812  0.16391069  1
  Sn  Sn10  1  0.24601431  0.04807218  0.23020925  1
  Sn  Sn11  1  0.95862483  -0.00618998  0.93691864  1
  Sn  Sn12  1  1.00246415  0.43285171  0.29429515  1
  Sn  Sn13  1  0.45233328  0.21078500  0.72259577  1
  Sn  Sn14  1  0.73907701  0.00343043  0.74275001  1
  Sn  Sn15  1  0.99430464  0.27897488  0.52315514  1
  Sn  Sn16  1  0.73073852  0.43845239  0.30798718  1
  Sn  Sn17  1  0.49008376  0.78566558  0.30918778  1
  Sn  Sn18  1  0.97685225  0.77634795  0.95364601  1
  Sn  Sn19  1  0.74073583  0.45724825  0.98881951  1
  Sn  Sn20  1  0.22281686  0.23731327  0.31291583  1
  Sn  Sn21  1  0.26146289  0.80534383  0.52134884  1
  Sn  Sn22  1  0.26375305  0.09662181  0.90561515  1
"
