,cif
0,"# generated using pymatgen
data_Ti
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.49201938
_cell_length_b   5.52102937
_cell_length_c   5.88594624
_cell_angle_alpha   89.99999565
_cell_angle_beta   90.00000870
_cell_angle_gamma   90.00000419
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti
_chemical_formula_sum   Ti8
_cell_volume   145.97482715
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.49137141  0.86353464  0.69999999  1
  Ti  Ti1  1  -0.00863740  0.55645822  0.94993336  1
  Ti  Ti2  1  0.36863739  0.36354175  0.45006663  1
  Ti  Ti3  1  0.86864642  0.05645092  0.20000002  1
  Ti  Ti4  1  -0.00863740  0.55645824  0.45006664  1
  Ti  Ti5  1  0.36863738  0.36354178  0.94993336  1
  Ti  Ti6  1  0.49135360  0.86354908  0.20000000  1
  Ti  Ti7  1  0.86862860  0.05646536  0.70000000  1
"
1,"# generated using pymatgen
data_Na
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   15.01556209
_cell_length_b   15.57026365
_cell_length_c   15.70297750
_cell_angle_alpha   26.06207527
_cell_angle_beta   37.93748538
_cell_angle_gamma   26.75493680
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na
_chemical_formula_sum   Na10
_cell_volume   724.43298116
_cell_formula_units_Z   10
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.38012418  0.46530490  0.41704400  1
  Na  Na1  1  0.68796615  0.98594968  0.77089328  1
  Na  Na2  1  1.01522178  -0.00693957  1.06867445  1
  Na  Na3  1  0.49928387  0.37731846  0.17829251  1
  Na  Na4  1  0.19675947  0.60064237  0.66093438  1
  Na  Na5  1  0.13973074  0.35061500  0.55743448  1
  Na  Na6  1  0.47326821  0.84199659  0.91929720  1
  Na  Na7  1  0.83973677  0.34389046  0.27844702  1
  Na  Na8  1  0.33510928  0.94979675  0.15815104  1
  Na  Na9  1  0.63279957  0.73142537  0.67083164  1
"
2,"# generated using pymatgen
data_In3Ga
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.08585461
_cell_length_b   5.08585315
_cell_length_c   5.08585464
_cell_angle_alpha   65.97235942
_cell_angle_beta   65.97236931
_cell_angle_gamma   65.97235177
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In3Ga
_chemical_formula_sum   'In3 Ga1'
_cell_volume   105.04553880
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.71645301  0.73645300  0.93645301  1
  In  In1  1  0.18354699  0.20354700  0.40354699  1
  In  In2  1  0.45000000  0.47000000  0.67000000  1
  Ga  Ga3  1  0.94999999  0.97000000  0.16999999  1
"
3,"# generated using pymatgen
data_Hg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   14.38159175
_cell_length_b   5.64434859
_cell_length_c   12.31827779
_cell_angle_alpha   59.65902024
_cell_angle_beta   82.12346671
_cell_angle_gamma   73.07902040
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hg
_chemical_formula_sum   Hg20
_cell_volume   825.55526169
_cell_formula_units_Z   20
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hg  Hg0  1  0.33288757  0.68797058  0.31304650  1
  Hg  Hg1  1  0.27913688  0.28282461  0.24272919  1
  Hg  Hg2  1  0.78493497  0.75483647  0.83134561  1
  Hg  Hg3  1  0.83904541  0.24969962  0.72000011  1
  Hg  Hg4  1  0.42900198  0.30120455  0.04797658  1
  Hg  Hg5  1  0.17420721  0.26480333  0.52944562  1
  Hg  Hg6  1  0.68148838  0.71800675  0.12659261  1
  Hg  Hg7  1  0.94593706  0.69247516  0.63893047  1
  Hg  Hg8  1  0.18936376  0.79239163  0.98243154  1
  Hg  Hg9  1  0.41662678  0.80125720  0.49118886  1
  Hg  Hg10  1  0.90746511  0.14239376  0.98675189  1
  Hg  Hg11  1  0.71235241  0.16921716  0.49220610  1
  Hg  Hg12  1  0.34234269  0.31836280  0.83400045  1
  Hg  Hg13  1  0.30262212  0.96162618  0.73459845  1
  Hg  Hg14  1  0.85854979  0.34381690  0.31222882  1
  Hg  Hg15  1  0.82136500  0.94676361  0.24430001  1
  Hg  Hg16  1  0.54005004  0.93119057  0.94979820  1
  Hg  Hg17  1  0.07654410  0.31277358  0.95539931  1
  Hg  Hg18  1  0.51315523  0.28704215  0.47570359  1
  Hg  Hg19  1  0.07292351  0.98134341  0.47132608  1
"
4,"# generated using pymatgen
data_YbCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.20982820
_cell_length_b   5.61167862
_cell_length_c   4.26868982
_cell_angle_alpha   89.93382160
_cell_angle_beta   89.99999654
_cell_angle_gamma   90.00000115
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbCu
_chemical_formula_sum   'Yb4 Cu4'
_cell_volume   172.70782529
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  0.76247202  0.50370128  0.53230162  1
  Yb  Yb1  1  0.26247203  0.28629871  0.53769838  1
  Yb  Yb2  1  0.62577531  0.01210300  0.03754403  1
  Yb  Yb3  1  0.12577530  0.77789701  1.03245596  1
  Cu  Cu4  1  0.41152941  0.78149979  0.54071942  1
  Cu  Cu5  1  0.48022325  0.52840217  1.02907491  1
  Cu  Cu6  1  -0.01977675  0.26159782  0.04092510  1
  Cu  Cu7  1  0.91152942  0.00850021  0.52928059  1
"
5,"# generated using pymatgen
data_Hf
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.46461841
_cell_length_b   9.07848765
_cell_length_c   6.42661102
_cell_angle_alpha   121.06611724
_cell_angle_beta   87.82380595
_cell_angle_gamma   95.81362447
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf
_chemical_formula_sum   Hf12
_cell_volume   271.65569340
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.80072065  0.21340650  0.35852498  1
  Hf  Hf1  1  0.68051424  0.51458311  0.87561303  1
  Hf  Hf2  1  0.36108299  0.88409592  0.61417964  1
  Hf  Hf3  1  0.18951760  0.53382179  0.11497767  1
  Hf  Hf4  1  0.88654604  0.85807243  0.83325142  1
  Hf  Hf5  1  0.43155467  0.87584896  0.09618715  1
  Hf  Hf6  1  0.79129479  0.18056749  -0.15863061  1
  Hf  Hf7  1  0.29952881  0.21174511  0.10568590  1
  Hf  Hf8  1  0.69399931  0.54463395  0.37213713  1
  Hf  Hf9  1  -0.07412072  0.85932314  0.30897112  1
  Hf  Hf10  1  0.28231691  0.20414710  0.58249593  1
  Hf  Hf11  1  0.21704471  0.54975449  0.62660664  1
"
6,"# generated using pymatgen
data_LiFeP2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.89995817
_cell_length_b   3.89995817
_cell_length_c   3.91901739
_cell_angle_alpha   59.85382773
_cell_angle_beta   59.85382748
_cell_angle_gamma   60.24134687
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiFeP2
_chemical_formula_sum   'Li1 Fe1 P2'
_cell_volume   42.13096149
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.26000000  0.42000001  0.22000000  1
  Fe  Fe1  1  0.76000000  0.92000000  0.72000000  1
  P  P2  1  0.01006064  0.17006064  0.97043517  1
  P  P3  1  0.50993936  0.66993935  0.46956483  1
"
7,"# generated using pymatgen
data_Li
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.15878647
_cell_length_b   5.26998214
_cell_length_c   8.34410612
_cell_angle_alpha   90.19601996
_cell_angle_beta   89.78963200
_cell_angle_gamma   33.55990287
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li
_chemical_formula_sum   Li6
_cell_volume   125.39449272
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.21328711  0.30458240  0.38144536  1
  Li  Li1  1  0.94640819  1.01871926  0.56365623  1
  Li  Li2  1  0.65565834  0.77072369  0.70602685  1
  Li  Li3  1  0.47746908  0.43281795  0.89479911  1
  Li  Li4  1  0.00382397  -0.00060827  0.21257027  1
  Li  Li5  1  0.73335332  0.73376496  0.06150217  1
"
8,"# generated using pymatgen
data_LiP
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.96693499
_cell_length_b   8.71896135
_cell_length_c   5.71647535
_cell_angle_alpha   91.97887215
_cell_angle_beta   74.46024363
_cell_angle_gamma   74.13374758
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiP
_chemical_formula_sum   'Li8 P8'
_cell_volume   273.74453217
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.49891984  0.77321826  0.11996817  1
  Li  Li1  1  0.74759987  0.15540388  0.54407519  1
  Li  Li2  1  0.38618464  0.96936758  0.71048002  1
  Li  Li3  1  0.63547400  0.48151248  0.84959239  1
  Li  Li4  1  0.16625443  0.18240694  0.26109988  1
  Li  Li5  1  0.94667677  0.71000654  0.33664838  1
  Li  Li6  1  0.12051166  0.69471849  0.79260849  1
  Li  Li7  1  0.93417067  0.19897911  0.91258095  1
  P  P8  1  0.61105895  1.01929777  0.25918278  1
  P  P9  1  0.37487126  0.29304538  0.89803097  1
  P  P10  1  0.77365932  0.94063819  0.87032503  1
  P  P11  1  0.54295699  0.67362101  0.55393286  1
  P  P12  1  1.02834602  0.94450913  0.10331082  1
  P  P13  1  0.51083625  0.29896401  0.23183540  1
  P  P14  1  1.00642518  0.47328714  1.01401235  1
  P  P15  1  0.72605416  0.45102408  0.33231633  1
"
9,"# generated using pymatgen
data_In3Ni7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.88317649
_cell_length_b   4.50175985
_cell_length_c   4.96135499
_cell_angle_alpha   103.99731282
_cell_angle_beta   75.35160658
_cell_angle_gamma   108.97678721
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In3Ni7
_chemical_formula_sum   'In3 Ni7'
_cell_volume   138.49600995
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.53151529  -0.04289204  0.87427553  1
  In  In1  1  0.10766348  0.72552304  0.78140306  1
  In  In2  1  1.01473077  0.30264527  0.21157106  1
  Ni  Ni3  1  0.59974991  0.11852201  0.37775230  1
  Ni  Ni4  1  0.79169066  0.69353453  0.28353630  1
  Ni  Ni5  1  0.42225765  0.50643658  0.24135954  1
  Ni  Ni6  1  0.71785475  0.52758109  0.77764154  1
  Ni  Ni7  1  0.92732461  1.10220541  0.68423509  1
  Ni  Ni8  1  0.32947891  0.33162877  0.73239803  1
  Ni  Ni9  1  0.21773400  0.93481534  0.30582752  1
"
