,cif
0,"# generated using pymatgen
data_Ta2CrFe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.34975504
_cell_length_b   4.34975487
_cell_length_c   4.34975489
_cell_angle_alpha   59.83788062
_cell_angle_beta   59.83788167
_cell_angle_gamma   59.83788171
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ta2CrFe
_chemical_formula_sum   'Ta2 Cr1 Fe1'
_cell_volume   57.98003798
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ta  Ta0  1  0.01989291  0.57989290  0.77989291  1
  Ta  Ta1  1  0.52010710  0.08010710  0.28010710  1
  Cr  Cr2  1  0.77000000  0.33000000  0.53000000  1
  Fe  Fe3  1  0.27000000  0.83000000  0.03000000  1
"
1,"# generated using pymatgen
data_Ca3Zn3Sb5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.31216295
_cell_length_b   4.49861558
_cell_length_c   17.29394882
_cell_angle_alpha   119.29106430
_cell_angle_beta   90.59604581
_cell_angle_gamma   89.99206133
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ca3Zn3Sb5
_chemical_formula_sum   'Ca3 Zn3 Sb5'
_cell_volume   292.56792005
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.15607991  0.01295770  0.16437550  1
  Ca  Ca1  1  0.16432616  0.01939019  0.79832394  1
  Ca  Ca2  1  0.16422437  0.11525611  0.53716807  1
  Zn  Zn3  1  0.66164462  0.59436929  0.40828916  1
  Zn  Zn4  1  0.65205561  0.58765299  0.01664904  1
  Zn  Zn5  1  0.65625304  0.44021371  0.69570950  1
  Sb  Sb6  1  0.66703189  0.74053154  0.59497361  1
  Sb  Sb7  1  0.16013842  0.18162114  0.36255301  1
  Sb  Sb8  1  0.15182880  0.23042904  0.01048054  1
  Sb  Sb9  1  0.65824793  0.64511142  0.25351963  1
  Sb  Sb10  1  0.66816924  0.64246687  0.86795799  1
"
2,"# generated using pymatgen
data_Y2MgTl
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.36788435
_cell_length_b   5.36788445
_cell_length_c   5.36788432
_cell_angle_alpha   59.87428842
_cell_angle_beta   59.87428767
_cell_angle_gamma   59.87428819
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y2MgTl
_chemical_formula_sum   'Y2 Mg1 Tl1'
_cell_volume   109.05708516
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.06994872  0.05994872  0.98994872  1
  Y  Y1  1  0.57005128  0.56005128  0.49005128  1
  Mg  Mg2  1  0.32000000  0.31000000  0.24000000  1
  Tl  Tl3  1  0.82000000  0.81000000  0.74000000  1
"
3,"# generated using pymatgen
data_Mn2OF2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.57630454
_cell_length_b   5.53096477
_cell_length_c   8.26869052
_cell_angle_alpha   72.61325255
_cell_angle_beta   90.00000129
_cell_angle_gamma   89.99999860
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn2OF2
_chemical_formula_sum   'Mn4 O2 F4'
_cell_volume   156.08506805
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.81000000  0.35704003  0.52885342  1
  Mn  Mn1  1  0.31000000  0.30906443  0.23911170  1
  Mn  Mn2  1  0.81000000  0.82025261  0.06429368  1
  Mn  Mn3  1  0.31000001  0.84568991  0.70369486  1
  O  O4  1  0.31000000  0.18258133  0.51249776  1
  O  O5  1  0.81000000  0.48349156  0.25552471  1
  F  F6  1  0.31000000  0.64233414  -0.02995840  1
  F  F7  1  0.81000000  1.02358178  0.79794210  1
  F  F8  1  0.31000000  0.02607047  0.11764470  1
  F  F9  1  0.81000000  0.63989373  0.65039546  1
"
4,"# generated using pymatgen
data_CePd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.06633664
_cell_length_b   5.06633667
_cell_length_c   5.06227303
_cell_angle_alpha   131.10849252
_cell_angle_beta   131.10849291
_cell_angle_gamma   71.65006648
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CePd3
_chemical_formula_sum   'Ce1 Pd3'
_cell_volume   72.17036282
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.09000001  0.29000000  0.76000001  1
  Pd  Pd1  1  0.83995005  0.54004995  0.26000000  1
  Pd  Pd2  1  0.34004994  0.03995005  0.25999999  1
  Pd  Pd3  1  0.59000000  0.79000000  0.76000000  1
"
5,"# generated using pymatgen
data_YPd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.04109308
_cell_length_b   5.04109317
_cell_length_c   5.04220483
_cell_angle_alpha   131.44094717
_cell_angle_beta   131.44094732
_cell_angle_gamma   71.09414195
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YPd3
_chemical_formula_sum   'Y1 Pd3'
_cell_volume   70.50881439
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.49000000  0.27000000  0.17000000  1
  Pd  Pd1  1  0.24001149  0.51998851  0.67000000  1
  Pd  Pd2  1  0.73998851  0.02001149  0.67000000  1
  Pd  Pd3  1  0.99000000  0.77000000  0.17000000  1
"
6,"# generated using pymatgen
data_Li2TlPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.51479877
_cell_length_b   4.51479881
_cell_length_c   4.51479884
_cell_angle_alpha   59.89001016
_cell_angle_beta   59.89000927
_cell_angle_gamma   59.89001147
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2TlPd
_chemical_formula_sum   'Li2 Tl1 Pd1'
_cell_volume   64.91051984
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.42993771  0.01993771  0.76993772  1
  Li  Li1  1  0.93006229  0.52006229  0.27006229  1
  Tl  Tl2  1  0.18000000  0.77000000  0.51999999  1
  Pd  Pd3  1  0.68000000  0.27000000  0.02000000  1
"
7,"# generated using pymatgen
data_ScZnPd2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.52856784
_cell_length_b   4.52856788
_cell_length_c   4.52856793
_cell_angle_alpha   59.79525451
_cell_angle_beta   59.79525478
_cell_angle_gamma   59.79525701
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ScZnPd2
_chemical_formula_sum   'Sc1 Zn1 Pd2'
_cell_volume   65.36486019
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sc  Sc0  1  0.75000000  0.19000000  0.21000000  1
  Zn  Zn1  1  0.25000000  0.69000000  0.71000000  1
  Pd  Pd2  1  0.50010002  0.94010002  0.96010002  1
  Pd  Pd3  1  -0.00010002  0.43989998  0.45989998  1
"
8,"# generated using pymatgen
data_ErGa3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.24068176
_cell_length_b   4.26229883
_cell_length_c   4.26229876
_cell_angle_alpha   90.08590038
_cell_angle_beta   90.00000086
_cell_angle_gamma   90.00000226
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ErGa3
_chemical_formula_sum   'Er1 Ga3'
_cell_volume   77.04118904
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Er  Er0  1  0.29000000  0.18999999  0.89000000  1
  Ga  Ga1  1  0.79000000  0.69000000  0.89000000  1
  Ga  Ga2  1  0.79000000  0.19000000  0.39000001  1
  Ga  Ga3  1  0.29000000  0.69000001  0.39000000  1
"
9,"# generated using pymatgen
data_Ti2MnIr
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.31460586
_cell_length_b   4.31460580
_cell_length_c   4.31460583
_cell_angle_alpha   59.84936946
_cell_angle_beta   59.84937000
_cell_angle_gamma   59.84937003
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2MnIr
_chemical_formula_sum   'Ti2 Mn1 Ir1'
_cell_volume   56.60062819
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.49006507  0.13006508  0.42006508  1
  Ti  Ti1  1  0.98993493  0.62993493  0.91993492  1
  Mn  Mn2  1  0.24000000  0.88000000  0.17000000  1
  Ir  Ir3  1  0.74000000  0.38000000  0.67000000  1
"
