,cif
0,"# generated using pymatgen
data_Sm2AlPt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.87593745
_cell_length_b   6.06978275
_cell_length_c   6.06978279
_cell_angle_alpha   35.22741571
_cell_angle_beta   68.10113695
_cell_angle_gamma   68.10113591
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm2AlPt
_chemical_formula_sum   'Sm2 Al1 Pt1'
_cell_volume   95.35780294
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.49254808  0.70708399  0.72708400  1
  Sm  Sm1  1  0.18836837  0.48828070  0.50828070  1
  Al  Al2  1  0.77082652  0.91317607  0.93317609  1
  Pt  Pt3  1  -0.01174297  0.25145925  0.27145921  1
"
1,"# generated using pymatgen
data_NdNiAs
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.29036796
_cell_length_b   4.29036789
_cell_length_c   6.48656791
_cell_angle_alpha   90.00000227
_cell_angle_beta   90.00000104
_cell_angle_gamma   89.99999944
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdNiAs
_chemical_formula_sum   'Nd2 Ni2 As2'
_cell_volume   119.39992207
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.89000000  0.06000000  0.04054427  1
  Nd  Nd1  1  0.39000000  0.55999999  0.47291450  1
  Ni  Ni2  1  0.89000000  0.56000000  0.75684997  1
  Ni  Ni3  1  0.39000001  0.06000000  0.75684998  1
  As  As4  1  0.39000000  0.56000001  0.96713550  1
  As  As5  1  0.88999999  0.06000000  0.54570579  1
"
2,"# generated using pymatgen
data_LiTmMn2O6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.94267056
_cell_length_b   5.16116951
_cell_length_c   6.20845847
_cell_angle_alpha   52.44611566
_cell_angle_beta   71.66019839
_cell_angle_gamma   96.04968750
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiTmMn2O6
_chemical_formula_sum   'Li1 Tm1 Mn2 O6'
_cell_volume   109.49415820
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.75365697  0.23289338  0.75538650  1
  Tm  Tm1  1  0.07356581  0.93059547  0.15009839  1
  Mn  Mn2  1  0.73983382  0.57888488  0.96138357  1
  Mn  Mn3  1  0.41494317  -0.07765349  0.60716780  1
  O  O4  1  0.71836508  0.71521316  0.59798689  1
  O  O5  1  0.08493832  0.46840437  -0.15537497  1
  O  O6  1  0.46123996  0.09501953  0.21266363  1
  O  O7  1  0.06107046  0.02049016  0.74260525  1
  O  O8  1  0.71654269  0.40648976  0.34409806  1
  O  O9  1  0.43584369  0.78966278  -0.03601511  1
"
3,"# generated using pymatgen
data_CaHo2Pd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.07570098
_cell_length_b   10.67815737
_cell_length_c   3.55564373
_cell_angle_alpha   90.00000216
_cell_angle_beta   89.99999726
_cell_angle_gamma   90.78992713
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaHo2Pd3
_chemical_formula_sum   'Ca2 Ho4 Pd6'
_cell_volume   268.62272531
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.22333451  0.29355738  0.44999991  1
  Ca  Ca1  1  0.72861270  0.64126837  0.95000001  1
  Ho  Ho2  1  0.19769681  -0.02868162  0.95000001  1
  Ho  Ho3  1  0.22541355  0.61501687  0.95000000  1
  Ho  Ho4  1  0.71282200  0.29553535  0.94999999  1
  Ho  Ho5  1  0.70435433  0.94697796  0.95000002  1
  Pd  Pd6  1  0.49422264  1.09693113  0.45000002  1
  Pd  Pd7  1  0.51541786  0.48074970  0.45000001  1
  Pd  Pd8  1  0.41409159  0.80430033  0.45000000  1
  Pd  Pd9  1  0.00641703  0.79589188  0.45000001  1
  Pd  Pd10  1  0.90497462  0.11267384  0.45000001  1
  Pd  Pd11  1  -0.06735763  0.47577880  0.45000001  1
"
4,"# generated using pymatgen
data_GePt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.77667499
_cell_length_b   5.75661220
_cell_length_c   5.75661250
_cell_angle_alpha   38.99935411
_cell_angle_beta   38.40307443
_cell_angle_gamma   38.40306916
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GePt
_chemical_formula_sum   'Ge2 Pt2'
_cell_volume   66.95214015
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.12733379  0.50725783  0.46725792  1
  Ge  Ge1  1  0.62733376  0.00725782  0.96725787  1
  Pt  Pt2  1  0.38266623  0.75274217  0.71274211  1
  Pt  Pt3  1  0.88266622  0.25274217  0.21274211  1
"
5,"# generated using pymatgen
data_DyAg5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.52917027
_cell_length_b   5.53644604
_cell_length_c   4.75449865
_cell_angle_alpha   89.99999912
_cell_angle_beta   89.99999977
_cell_angle_gamma   120.03194881
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyAg5
_chemical_formula_sum   'Dy1 Ag5'
_cell_volume   126.00462609
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.15000000  0.35000000  0.35000000  1
  Ag  Ag1  1  0.81092338  0.68016540  0.35000001  1
  Ag  Ag2  1  0.48907662  0.01983461  0.35000001  1
  Ag  Ag3  1  0.65000000  0.85000000  0.85000000  1
  Ag  Ag4  1  0.65000000  0.35000000  0.85000000  1
  Ag  Ag5  1  0.15000000  0.85000000  0.84999999  1
"
6,"# generated using pymatgen
data_LuScIr2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.65622906
_cell_length_b   4.65622908
_cell_length_c   4.65622910
_cell_angle_alpha   59.98791626
_cell_angle_beta   59.98791657
_cell_angle_gamma   59.98791748
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LuScIr2
_chemical_formula_sum   'Lu1 Sc1 Ir2'
_cell_volume   71.36232919
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Lu  Lu0  1  0.81000000  0.52000000  0.10000000  1
  Sc  Sc1  1  0.31000000  0.02000000  0.60000000  1
  Ir  Ir2  1  0.05990873  0.76990873  0.34990873  1
  Ir  Ir3  1  0.56009127  0.27009127  0.85009127  1
"
7,"# generated using pymatgen
data_Y3Cd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.88012519
_cell_length_b   6.88012531
_cell_length_c   5.61196606
_cell_angle_alpha   90.00000017
_cell_angle_beta   89.99999847
_cell_angle_gamma   119.65899816
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y3Cd
_chemical_formula_sum   'Y6 Cd2'
_cell_volume   230.84497734
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.49132325  0.39867674  0.27000000  1
  Y  Y1  1  0.98742403  0.39845357  0.27000000  1
  Y  Y2  1  0.49154643  0.90257598  0.27000000  1
  Y  Y3  1  0.15867674  0.73132326  0.77000000  1
  Y  Y4  1  0.66257598  0.73154643  0.77000000  1
  Y  Y5  1  0.15845357  0.22742402  0.77000000  1
  Cd  Cd6  1  0.65986944  0.23013055  0.77000000  1
  Cd  Cd7  1  0.99013055  0.89986945  0.27000000  1
"
8,"# generated using pymatgen
data_MgZn3Pt
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.21636112
_cell_length_b   6.66913113
_cell_length_c   5.09384190
_cell_angle_alpha   80.86305442
_cell_angle_beta   92.86837665
_cell_angle_gamma   136.59991670
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgZn3Pt
_chemical_formula_sum   'Mg2 Zn6 Pt2'
_cell_volume   165.52985728
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.77311122  0.13968812  0.90980968  1
  Mg  Mg1  1  0.08728727  0.23215014  0.41774964  1
  Zn  Zn2  1  0.95066647  0.81763390  0.91346228  1
  Zn  Zn3  1  0.37622185  0.46981171  0.88682815  1
  Zn  Zn4  1  0.64583729  0.66416108  0.35440077  1
  Zn  Zn5  1  0.50448927  0.22572048  1.14875521  1
  Zn  Zn6  1  0.45259154  0.83720314  0.49155520  1
  Zn  Zn7  1  -0.00120364  0.66178551  0.44919812  1
  Pt  Pt8  1  0.22175695  0.68535469  0.03356946  1
  Pt  Pt9  1  0.41924177  0.16649124  0.65467148  1
"
9,"# generated using pymatgen
data_ZrAu7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.38157405
_cell_length_b   10.61269700
_cell_length_c   3.14200091
_cell_angle_alpha   126.07846799
_cell_angle_beta   71.14151418
_cell_angle_gamma   135.74042821
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrAu7
_chemical_formula_sum   'Zr1 Au7'
_cell_volume   173.74162384
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.54579027  0.86502798  -0.04065242  1
  Au  Au1  1  0.82101286  0.25530038  -0.02375961  1
  Au  Au2  1  0.27878048  0.47921861  0.96014980  1
  Au  Au3  1  0.70496720  0.72348911  0.02446599  1
  Au  Au4  1  -0.02466792  0.10209863  0.02383113  1
  Au  Au5  1  0.48029279  0.14307658  0.63666409  1
  Au  Au6  1  0.84315152  0.55852231  0.01719298  1
  Au  Au7  1  0.21067282  0.75326640  0.55210804  1
"
