,cif
0,"# generated using pymatgen
data_Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.73352515
_cell_length_b   5.28069379
_cell_length_c   7.33211433
_cell_angle_alpha   88.42163098
_cell_angle_beta   66.54430753
_cell_angle_gamma   120.06166657
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al
_chemical_formula_sum   Al12
_cell_volume   227.82181367
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.33012283  0.67518229  0.36446652  1
  Al  Al1  1  0.56309441  0.84733376  0.92700945  1
  Al  Al2  1  0.53809430  0.58499680  0.60618900  1
  Al  Al3  1  0.86874563  0.17887842  0.53485696  1
  Al  Al4  1  1.06448441  0.31161127  0.78269870  1
  Al  Al5  1  0.77220234  0.80331916  0.14020348  1
  Al  Al6  1  0.29359402  0.14597558  0.46035126  1
  Al  Al7  1  0.86152298  0.64476993  0.75915251  1
  Al  Al8  1  0.97744947  0.74919099  0.34754691  1
  Al  Al9  1  0.71812543  0.26964777  0.15289786  1
  Al  Al10  1  0.40754358  0.22057572  0.03809955  1
  Al  Al11  1  0.11502060  0.38851831  0.12652780  1
"
1,"# generated using pymatgen
data_MgNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30444271
_cell_length_b   4.30444270
_cell_length_c   4.30444251
_cell_angle_alpha   59.98612063
_cell_angle_beta   59.98611981
_cell_angle_gamma   59.98611706
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgNi
_chemical_formula_sum   'Mg2 Ni2'
_cell_volume   56.37662402
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.24000000  0.65000000  0.26000000  1
  Mg  Mg1  1  0.74000000  0.15000001  0.76000000  1
  Ni  Ni2  1  0.49000000  0.90000000  0.51000000  1
  Ni  Ni3  1  0.99000000  0.40000000  0.01000000  1
"
2,"# generated using pymatgen
data_MgCo2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.56519664
_cell_length_b   9.56388151
_cell_length_c   2.92568619
_cell_angle_alpha   90.03372914
_cell_angle_beta   107.80325681
_cell_angle_gamma   24.93957471
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgCo2
_chemical_formula_sum   'Mg2 Co4'
_cell_volume   77.86634027
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  1.20834142  0.02943758  0.59079777  1
  Mg  Mg1  1  0.22188637  0.51665542  1.11405229  1
  Co  Co2  1  -0.06982906  0.49809999  -0.16411974  1
  Co  Co3  1  0.49922658  0.54922211  0.36710515  1
  Co  Co4  1  0.55625525  0.99588727  0.96366043  1
  Co  Co5  1  0.88411947  0.04069761  0.25850410  1
"
3,"# generated using pymatgen
data_Eu(SnPd)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.17963193
_cell_length_b   6.12931702
_cell_length_c   5.60864777
_cell_angle_alpha   127.74590284
_cell_angle_beta   69.88087830
_cell_angle_gamma   121.75465527
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Eu(SnPd)2
_chemical_formula_sum   'Eu1 Sn2 Pd2'
_cell_volume   119.65965868
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Eu  Eu0  1  0.43748541  0.33491878  0.54944936  1
  Sn  Sn1  1  0.20793813  0.55301316  0.27021684  1
  Sn  Sn2  1  0.66205933  0.11324982  0.83032285  1
  Pd  Pd3  1  0.81940942  0.72309864  0.25934171  1
  Pd  Pd4  1  0.05310771  0.94571960  0.84066924  1
"
4,"# generated using pymatgen
data_Au
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.70702384
_cell_length_b   5.61969890
_cell_length_c   12.28429687
_cell_angle_alpha   56.40423448
_cell_angle_beta   50.51208816
_cell_angle_gamma   54.13125462
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Au
_chemical_formula_sum   Au14
_cell_volume   277.21567692
_cell_formula_units_Z   14
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Au  Au0  1  0.34677940  0.51497425  0.63693417  1
  Au  Au1  1  0.78506181  -0.11822561  0.15657186  1
  Au  Au2  1  0.87071853  0.63351430  0.42254230  1
  Au  Au3  1  0.93380427  0.87644842  0.87848141  1
  Au  Au4  1  0.28190370  0.75394025  0.36364240  1
  Au  Au5  1  0.46553977  0.38475451  0.86108814  1
  Au  Au6  1  0.83133835  0.43839422  0.88803624  1
  Au  Au7  1  0.29590267  0.38094526  0.15141451  1
  Au  Au8  1  0.84586317  0.01218906  0.64347453  1
  Au  Au9  1  0.32038127  0.93374727  0.91081055  1
  Au  Au10  1  0.44737554  0.94661862  0.64029446  1
  Au  Au11  1  0.95546854  0.31595129  0.10087298  1
  Au  Au12  1  0.36208889  0.12381236  0.40625142  1
  Au  Au13  1  0.77777410  0.27293579  0.37958503  1
"
5,"# generated using pymatgen
data_PrNdSi4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.33900770
_cell_length_b   6.66719942
_cell_length_c   6.40395996
_cell_angle_alpha   59.64999804
_cell_angle_beta   34.64963273
_cell_angle_gamma   59.64373501
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrNdSi4
_chemical_formula_sum   'Pr1 Nd1 Si4'
_cell_volume   130.55442718
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.93985245  0.95013585  0.20005834  1
  Nd  Nd1  1  0.44002472  0.45013200  0.70000570  1
  Si  Si2  1  0.65244267  0.57177636  0.91227593  1
  Si  Si3  1  0.15022971  0.07267173  0.41009780  1
  Si  Si4  1  0.22749815  0.32825309  0.48759591  1
  Si  Si5  1  0.72995230  0.82703096  -0.01003368  1
"
6,"# generated using pymatgen
data_YbGa5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.30400691
_cell_length_b   5.16980058
_cell_length_c   9.68160212
_cell_angle_alpha   93.29339848
_cell_angle_beta   89.25528270
_cell_angle_gamma   114.03381977
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbGa5
_chemical_formula_sum   'Yb2 Ga10'
_cell_volume   242.04434026
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  0.27824556  0.97992599  0.21993298  1
  Yb  Yb1  1  0.59751739  0.31746688  0.80086180  1
  Ga  Ga2  1  0.96391766  0.35170054  0.11263488  1
  Ga  Ga3  1  0.27194308  0.61206938  0.92479578  1
  Ga  Ga4  1  0.98962041  0.93317691  0.96148433  1
  Ga  Ga5  1  0.61175997  0.57721529  0.10374696  1
  Ga  Ga6  1  0.67395785  0.97117440  0.48273794  1
  Ga  Ga7  1  0.28871582  0.14468659  0.53587468  1
  Ga  Ga8  1  0.24507638  0.51132434  0.37403707  1
  Ga  Ga9  1  0.91836837  0.98764254  0.71445447  1
  Ga  Ga10  1  1.10924140  0.57564272  0.64756315  1
  Ga  Ga11  1  0.73163610  0.44797441  0.38187597  1
"
7,"# generated using pymatgen
data_Ti3Ge
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.31797252
_cell_length_b   5.35461552
_cell_length_c   3.07794534
_cell_angle_alpha   72.68373441
_cell_angle_beta   106.29880626
_cell_angle_gamma   127.65451331
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti3Ge
_chemical_formula_sum   'Ti3 Ge1'
_cell_volume   65.67698906
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  1.03457865  0.73034359  0.96040214  1
  Ti  Ti1  1  0.17073880  0.33582690  0.76303151  1
  Ti  Ti2  1  0.56534270  0.20061291  0.49075986  1
  Ge  Ge3  1  0.64933986  0.81321659  0.26580649  1
"
8,"# generated using pymatgen
data_TaPt3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.99612966
_cell_length_b   3.99612975
_cell_length_c   3.99612965
_cell_angle_alpha   90.00000021
_cell_angle_beta   89.99999974
_cell_angle_gamma   89.99999868
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TaPt3
_chemical_formula_sum   'Ta1 Pt3'
_cell_volume   63.81440474
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ta  Ta0  1  0.96000000  0.66000000  0.10000000  1
  Pt  Pt1  1  0.46000000  0.16000000  0.10000000  1
  Pt  Pt2  1  0.46000000  0.66000000  0.60000000  1
  Pt  Pt3  1  0.96000000  0.16000000  0.60000000  1
"
9,"# generated using pymatgen
data_TmPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.90638571
_cell_length_b   4.90638574
_cell_length_c   4.90638575
_cell_angle_alpha   59.80416663
_cell_angle_beta   59.80416681
_cell_angle_gamma   59.80416606
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TmPd
_chemical_formula_sum   'Tm2 Pd2'
_cell_volume   83.14480518
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.29000000  0.79000000  0.62000000  1
  Tm  Tm1  1  0.79000000  0.29000000  0.12000000  1
  Pd  Pd2  1  0.04000000  0.54000000  0.37000000  1
  Pd  Pd3  1  0.54000000  0.04000000  0.87000000  1
"
