,cif
0,"# generated using pymatgen
data_GdRu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.33637259
_cell_length_b   5.73827895
_cell_length_c   7.15997948
_cell_angle_alpha   90.00000045
_cell_angle_beta   90.00000417
_cell_angle_gamma   90.00000375
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdRu
_chemical_formula_sum   'Gd4 Ru4'
_cell_volume   178.16402847
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.60114104  0.21764429  0.06349497  1
  Gd  Gd1  1  0.10885896  0.71764433  0.92650504  1
  Gd  Gd2  1  0.60885896  0.99235570  0.56349499  1
  Gd  Gd3  1  1.10114104  0.49235568  0.42650501  1
  Ru  Ru4  1  0.61659308  0.71966794  0.20423435  1
  Ru  Ru5  1  1.09340691  0.21966794  0.78576564  1
  Ru  Ru6  1  0.59340692  0.49033206  0.70423437  1
  Ru  Ru7  1  0.11659308  0.99033207  0.28576563  1
"
1,"# generated using pymatgen
data_LiPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.37490159
_cell_length_b   4.37490168
_cell_length_c   4.37490171
_cell_angle_alpha   59.93036074
_cell_angle_beta   59.93036030
_cell_angle_gamma   59.93036074
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiPd
_chemical_formula_sum   'Li2 Pd2'
_cell_volume   59.11576832
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.69998699  0.74998699  0.24998699  1
  Li  Li1  1  0.95001301  0.00001301  0.50001301  1
  Pd  Pd2  1  0.44968783  0.49968782  -0.00031218  1
  Pd  Pd3  1  0.20031217  0.25031218  0.75031218  1
"
2,"# generated using pymatgen
data_Hf3Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.38932916
_cell_length_b   4.38932932
_cell_length_c   4.38932936
_cell_angle_alpha   89.99999980
_cell_angle_beta   89.99999992
_cell_angle_gamma   89.99999973
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf3Mg
_chemical_formula_sum   'Hf3 Mg1'
_cell_volume   84.56574640
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.16000000  0.33000000  0.44000000  1
  Hf  Hf1  1  0.66000000  0.83000000  0.44000000  1
  Hf  Hf2  1  0.66000000  0.33000000  0.94000000  1
  Mg  Mg3  1  0.16000000  0.83000000  0.94000000  1
"
3,"# generated using pymatgen
data_Mg3Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.90083880
_cell_length_b   4.90083900
_cell_length_c   4.90083886
_cell_angle_alpha   59.97631494
_cell_angle_beta   59.97631393
_cell_angle_gamma   59.97631321
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg3Al
_chemical_formula_sum   'Mg3 Al1'
_cell_volume   83.18843540
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.63006022  0.45006022  0.27006022  1
  Mg  Mg1  1  0.88000000  0.70000000  0.52000000  1
  Mg  Mg2  1  0.12993978  0.94993978  0.76993978  1
  Al  Al3  1  0.38000000  0.20000000  0.02000000  1
"
4,"# generated using pymatgen
data_MgSnAu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.85616221
_cell_length_b   4.85616225
_cell_length_c   4.85616212
_cell_angle_alpha   59.35130549
_cell_angle_beta   59.35130745
_cell_angle_gamma   59.35130642
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MgSnAu2
_chemical_formula_sum   'Mg1 Sn1 Au2'
_cell_volume   79.78179887
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.18000000  0.37000000  0.27000000  1
  Sn  Sn1  1  0.68000000  0.87000000  0.77000000  1
  Au  Au2  1  0.93006982  0.12006982  0.02006982  1
  Au  Au3  1  0.42993018  0.61993018  0.51993018  1
"
5,"# generated using pymatgen
data_Cd2SnAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.98860159
_cell_length_b   4.98860147
_cell_length_c   4.98860161
_cell_angle_alpha   59.33538709
_cell_angle_beta   59.33538600
_cell_angle_gamma   59.33538841
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cd2SnAu
_chemical_formula_sum   'Cd2 Sn1 Au1'
_cell_volume   86.45703277
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.23009108  0.62009109  0.45009108  1
  Cd  Cd1  1  0.72990891  0.11990892  0.94990892  1
  Sn  Sn2  1  0.48000000  0.87000000  0.70000000  1
  Au  Au3  1  0.98000000  0.37000000  0.20000000  1
"
6,"# generated using pymatgen
data_Zr2PtAu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.82564847
_cell_length_b   4.82564838
_cell_length_c   4.82564838
_cell_angle_alpha   59.50566117
_cell_angle_beta   59.50566227
_cell_angle_gamma   59.50566245
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr2PtAu
_chemical_formula_sum   'Zr2 Pt1 Au1'
_cell_volume   78.56732382
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.30985012  0.20985011  0.32985011  1
  Zr  Zr1  1  0.81014988  0.71014989  0.83014989  1
  Pt  Pt2  1  0.56000000  0.46000000  0.58000000  1
  Au  Au3  1  0.06000000  0.96000000  0.08000000  1
"
7,"# generated using pymatgen
data_LiPb
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.20013552
_cell_length_b   5.20013564
_cell_length_c   5.20013540
_cell_angle_alpha   59.53557176
_cell_angle_beta   59.53557112
_cell_angle_gamma   59.53556754
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiPb
_chemical_formula_sum   'Li2 Pb2'
_cell_volume   98.38262536
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.42998212  0.32998212  0.40998212  1
  Li  Li1  1  0.18001788  0.08001788  0.16001788  1
  Pb  Pb2  1  0.92986778  0.82986778  0.90986778  1
  Pb  Pb3  1  0.68013222  0.58013222  0.66013222  1
"
8,"# generated using pymatgen
data_Nd2AlCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.19053775
_cell_length_b   5.19053782
_cell_length_c   5.19053774
_cell_angle_alpha   59.79296516
_cell_angle_beta   59.79296468
_cell_angle_gamma   59.79296506
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nd2AlCu
_chemical_formula_sum   'Nd2 Al1 Cu1'
_cell_volume   98.41834097
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.00985722  0.51985723  0.52985723  1
  Nd  Nd1  1  0.51014277  0.02014278  0.03014277  1
  Al  Al2  1  0.76000000  0.27000000  0.28000000  1
  Cu  Cu3  1  0.26000000  0.77000000  0.78000000  1
"
9,"# generated using pymatgen
data_NaPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.58173633
_cell_length_b   11.34023322
_cell_length_c   10.59790388
_cell_angle_alpha   165.93251078
_cell_angle_beta   151.77155284
_cell_angle_gamma   31.17149165
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaPd
_chemical_formula_sum   'Na4 Pd4'
_cell_volume   146.20270413
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.36776516  0.06429262  0.88212851  1
  Na  Na1  1  0.11776516  0.31429261  0.38212850  1
  Na  Na2  1  0.61776518  0.81429264  0.38212854  1
  Na  Na3  1  0.86776518  0.56429263  0.88212852  1
  Pd  Pd4  1  0.45223483  0.70570737  0.85787148  1
  Pd  Pd5  1  0.95223483  0.20570738  0.85787148  1
  Pd  Pd6  1  0.70223483  0.45570736  0.35787148  1
  Pd  Pd7  1  0.20223483  0.95570738  0.35787149  1
"
