,cif
0,"# generated using pymatgen
data_MnCo3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.49401943
_cell_length_b   2.48780927
_cell_length_c   8.09935844
_cell_angle_alpha   90.01825574
_cell_angle_beta   89.98203953
_cell_angle_gamma   119.88876764
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MnCo3
_chemical_formula_sum   'Mn1 Co3'
_cell_volume   43.56962543
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.69968543  0.62938347  0.65397670  1
  Co  Co1  1  0.70045661  0.63012174  0.15509451  1
  Co  Co2  1  0.35891557  0.95994429  0.90086066  1
  Co  Co3  1  0.36094239  0.96055049  0.41006812  1
"
1,"# generated using pymatgen
data_Zn8Sn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.79050180
_cell_length_b   5.79050206
_cell_length_c   5.55255610
_cell_angle_alpha   78.85907199
_cell_angle_beta   78.85907471
_cell_angle_gamma   97.05608904
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn8Sn
_chemical_formula_sum   'Zn8 Sn1'
_cell_volume   176.72745243
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.75999999  0.59000000  0.88000000  1
  Zn  Zn1  1  0.26000001  0.09000001  0.37999999  1
  Zn  Zn2  1  -0.03042216  0.33167922  0.15481061  1
  Zn  Zn3  1  0.55042218  0.84832078  0.60518938  1
  Zn  Zn4  1  0.01832078  0.38042216  0.60518938  1
  Zn  Zn5  1  0.50167921  0.79957783  0.15481063  1
  Zn  Zn6  1  0.58378933  0.41378935  0.49927048  1
  Zn  Zn7  1  -0.06378933  0.76621065  0.26072954  1
  Sn  Sn8  1  0.25999999  0.09000000  0.87999999  1
"
2,"# generated using pymatgen
data_Zn3Cu5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.07191800
_cell_length_b   4.99816339
_cell_length_c   7.43515965
_cell_angle_alpha   110.12575937
_cell_angle_beta   109.10451600
_cell_angle_gamma   101.20452584
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn3Cu5
_chemical_formula_sum   'Zn6 Cu10'
_cell_volume   218.77298973
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.96227223  0.29820942  0.96717259  1
  Zn  Zn1  1  0.36020701  0.86398308  0.41107598  1
  Zn  Zn2  1  0.65389297  0.65543802  0.12932058  1
  Zn  Zn3  1  0.30198058  0.44038080  0.75982114  1
  Zn  Zn4  1  0.92774450  0.12510813  0.45095477  1
  Zn  Zn5  1  0.29460712  0.92977663  0.73814227  1
  Cu  Cu6  1  0.63167785  0.78573389  0.70945621  1
  Cu  Cu7  1  0.32762907  0.32762251  0.08936244  1
  Cu  Cu8  1  0.97442432  0.87661804  0.09325026  1
  Cu  Cu9  1  0.62432621  0.34363692  0.39951870  1
  Cu  Cu10  1  0.97677773  0.58600312  0.36643163  1
  Cu  Cu11  1  0.31505464  0.83730144  0.07175820  1
  Cu  Cu12  1  0.27016607  0.34034726  0.40022772  1
  Cu  Cu13  1  0.95995549  0.62925725  0.73483239  1
  Cu  Cu14  1  0.65841316  0.12058920  0.06120686  1
  Cu  Cu15  1  0.63087103  0.31999428  0.74746824  1
"
3,"# generated using pymatgen
data_Zn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.33208956
_cell_length_b   8.25063204
_cell_length_c   5.19072681
_cell_angle_alpha   67.57509123
_cell_angle_beta   119.46988500
_cell_angle_gamma   154.58414551
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn
_chemical_formula_sum   Zn12
_cell_volume   178.75479448
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.84863090  -0.10513714  0.82046813  1
  Zn  Zn1  1  0.34863090  0.39486285  0.32046814  1
  Zn  Zn2  1  0.70271345  0.07345984  0.38241713  1
  Zn  Zn3  1  0.20271346  0.57345984  0.88241711  1
  Zn  Zn4  1  0.13021138  0.39326147  0.40184825  1
  Zn  Zn5  1  0.63021137  0.89326147  0.90184824  1
  Zn  Zn6  1  0.41395880  0.03260371  0.21849010  1
  Zn  Zn7  1  0.91395878  0.53260372  0.71849009  1
  Zn  Zn8  1  0.47403363  0.19930848  0.69503034  1
  Zn  Zn9  1  0.97403362  0.69930848  0.19503035  1
  Zn  Zn10  1  0.28045186  0.21650364  0.84174606  1
  Zn  Zn11  1  0.78045185  0.71650365  0.34174606  1
"
4,"# generated using pymatgen
data_TiCoNi3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.67571635
_cell_length_b   4.87942722
_cell_length_c   4.72916305
_cell_angle_alpha   55.70696338
_cell_angle_beta   122.26190014
_cell_angle_gamma   122.66073895
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TiCoNi3
_chemical_formula_sum   'Ti2 Co2 Ni6'
_cell_volume   116.28038665
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.77404037  0.21359161  0.64600235  1
  Ti  Ti1  1  0.24978267  0.04424085  -0.10337389  1
  Co  Co2  1  0.18190887  0.51980446  0.81461919  1
  Co  Co3  1  0.97578983  0.82149291  0.21898025  1
  Ni  Ni4  1  0.84412968  0.77629368  0.63091747  1
  Ni  Ni5  1  0.44967440  0.67532710  0.46876982  1
  Ni  Ni6  1  0.37689071  0.12757375  0.45972058  1
  Ni  Ni7  1  0.65002696  0.25462213  1.03380401  1
  Ni  Ni8  1  0.57489420  0.67592058  0.06740485  1
  Ni  Ni9  1  0.04286232  0.36113294  0.26315538  1
"
5,"# generated using pymatgen
data_NiGe2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.32858651
_cell_length_b   9.11523063
_cell_length_c   4.84812644
_cell_angle_alpha   65.28484169
_cell_angle_beta   85.35693446
_cell_angle_gamma   79.83075543
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NiGe2
_chemical_formula_sum   'Ni4 Ge8'
_cell_volume   210.54217024
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ni  Ni0  1  0.81839075  0.79107789  0.79707592  1
  Ni  Ni1  1  0.42396320  -0.01353085  0.24916111  1
  Ni  Ni2  1  0.18144851  0.27155704  0.56596157  1
  Ni  Ni3  1  1.01125740  0.52595570  0.68694685  1
  Ge  Ge4  1  0.18491281  0.77815843  0.49473982  1
  Ge  Ge5  1  0.66759406  0.31589604  0.47009564  1
  Ge  Ge6  1  0.44129920  -0.00087823  0.73442284  1
  Ge  Ge7  1  0.97804878  0.52266137  0.18477186  1
  Ge  Ge8  1  0.74260458  0.76478511  0.31963205  1
  Ge  Ge9  1  0.25935572  0.26783536  0.05831827  1
  Ge  Ge10  1  0.94617356  0.04585097  0.72277031  1
  Ge  Ge11  1  0.49495143  0.50063117  0.72610376  1
"
6,"# generated using pymatgen
data_LiBeGe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.09283092
_cell_length_b   4.00405112
_cell_length_c   16.37634900
_cell_angle_alpha   73.68359321
_cell_angle_beta   68.82198340
_cell_angle_gamma   42.21323519
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiBeGe
_chemical_formula_sum   'Li4 Be4 Ge4'
_cell_volume   168.10175094
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.66180397  -0.02262265  0.35000890  1
  Li  Li1  1  0.20643737  0.68174969  0.14327804  1
  Li  Li2  1  0.73830763  -0.09168264  0.84612220  1
  Li  Li3  1  0.09935974  0.79873984  0.64773752  1
  Be  Be4  1  0.28162270  0.69171347  0.41074058  1
  Be  Be5  1  0.36512856  0.62134892  -0.09301924  1
  Be  Be6  1  -0.00042981  0.31550499  0.96162607  1
  Be  Be7  1  -0.08833792  0.38547816  0.46580649  1
  Ge  Ge8  1  0.62138958  0.02035897  0.02399130  1
  Ge  Ge9  1  0.54839301  0.66229931  0.75632225  1
  Ge  Ge10  1  0.48632933  0.72375624  0.25947997  1
  Ge  Ge11  1  0.52999584  0.09335566  0.52790591  1
"
7,"# generated using pymatgen
data_Hf5Ni
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.37041404
_cell_length_b   5.92089300
_cell_length_c   6.12488808
_cell_angle_alpha   58.91555987
_cell_angle_beta   56.85114939
_cell_angle_gamma   53.42608896
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Hf5Ni
_chemical_formula_sum   'Hf5 Ni1'
_cell_volume   125.58813054
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.18713719  0.82236231  0.58877973  1
  Hf  Hf1  1  0.92680838  0.57258377  0.32999295  1
  Hf  Hf2  1  0.50564770  0.15247124  -0.00830477  1
  Hf  Hf3  1  0.73552864  0.52954590  0.93598299  1
  Hf  Hf4  1  0.50767869  0.18266482  0.51133229  1
  Ni  Ni5  1  0.07719941  0.98037196  0.15221681  1
"
8,"# generated using pymatgen
data_Mg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.52730338
_cell_length_b   6.38397372
_cell_length_c   7.13787207
_cell_angle_alpha   63.44029752
_cell_angle_beta   75.03149165
_cell_angle_gamma   54.72777863
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mg
_chemical_formula_sum   Mg8
_cell_volume   183.92925020
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.86780787  0.40838619  0.45684547  1
  Mg  Mg1  1  0.36746663  0.03243226  0.20739790  1
  Mg  Mg2  1  0.86775508  -0.09316732  0.45728746  1
  Mg  Mg3  1  -0.13305103  0.15837870  -0.04235536  1
  Mg  Mg4  1  -0.13248219  0.65646862  -0.04174224  1
  Mg  Mg5  1  0.36263017  0.28673542  0.70502225  1
  Mg  Mg6  1  0.36747298  0.53244883  0.20757193  1
  Mg  Mg7  1  0.37240049  0.77831731  0.70997257  1
"
9,"# generated using pymatgen
data_Al
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.81013533
_cell_length_b   4.63215007
_cell_length_c   4.31413443
_cell_angle_alpha   115.41754492
_cell_angle_beta   85.92739670
_cell_angle_gamma   100.33496527
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Al
_chemical_formula_sum   Al3
_cell_volume   49.89713427
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.93541241  0.33340934  0.57727670  1
  Al  Al1  1  0.27221048  -0.00159511  0.92165800  1
  Al  Al2  1  0.61237711  0.65818577  0.24106530  1
"
